model.family,model.size,model.device,model.task_type,model.format,model.quantization,status,error,performance.fps,performance.mean_ms,performance.p50_ms,performance.p95_ms,performance.p99_ms,performance.min_ms,performance.max_ms,cpu.cpu_power,cpu.cpu_utilization.unit,cpu.cpu_utilization.samples,cpu.cpu_utilization.mean,cpu.cpu_utilization.p50,cpu.cpu_utilization.p95,cpu.cpu_utilization.p99,cpu.cpu_utilization.min,cpu.cpu_utilization.max,cpu.cpu_temperature.unit,cpu.cpu_temperature.samples,cpu.cpu_temperature.mean,cpu.cpu_temperature.p50,cpu.cpu_temperature.p95,cpu.cpu_temperature.p99,cpu.cpu_temperature.min,cpu.cpu_temperature.max,gpu.vram_usage,gpu.gpu_power,gpu.gpu_utilization,gpu.gpu_temperature,quality,performance,cpu,gpu
yolo11,n,cpu,segment,openvino,fp16,success,,4.041141131157461,247.45485682000435,240.42854199979047,266.49199100029364,279.171567000958,236.36524499852385,305.079145999116,,percent,238,96.33571428571422,97.5,100.0,100.0,85.4,100.0,celsius,239,63.12907949790798,63.35,63.9,64.45,61.15,64.45,,,,,,,,
yolo11,s,cpu,segment,pytorch,fp32,success,,0.5215124219151103,1917.4998676498947,1924.3451670008653,1963.3634519996122,1973.988546000328,1857.0908039982896,1977.1156030001293,,percent,1874,47.52235859124875,47.5,65.9,73.8,24.4,82.5,celsius,1874,56.52342582710655,56.2,57.85,58.4,54.0,60.05,,,,,,,,
yolo11,s,cpu,segment,onnx,fp32,success,,1.1141354438680877,897.5569402299698,905.3887560003204,921.0434929991607,931.439402000251,852.3250189991813,938.2190149990493,,percent,864,99.85185185185185,100.0,100.0,100.0,49.2,100.0,celsius,864,63.18894675925896,63.35,64.45,65.0,60.6,65.55,,,,,,,,
yolo11,s,cpu,segment,openvino,fp32,success,,1.6663225225482292,600.1239174699185,598.9453919992229,625.3009500014741,631.3814410004852,573.7735769998835,633.7305920005747,,percent,573,96.0363001745198,97.4,100.0,100.0,80.5,100.0,celsius,573,63.543891797556824,63.35,64.45,65.0,61.15,65.55,,,,,,,,
yolo11,s,cpu,segment,openvino,fp16,success,,1.8314619018085698,546.0119039399615,545.0183680004557,559.0552400008164,563.8001180013816,528.8134909988003,567.7491049991659,,percent,526,96.39752851710999,97.6,100.0,100.0,81.0,100.0,celsius,526,64.81074144486695,65.0,65.55,66.1,62.8,66.65,,,,,,,,
yolo26,n,cpu,segment,pytorch,fp32,success,,1.408667867737442,709.8905447500329,708.9095930004987,725.195506000091,727.3168060000899,686.6984120006236,728.0625469993538,,percent,694,54.829250720461076,55.0,67.5,76.7,35.0,88.1,celsius,694,58.297766570605354,58.4,59.5,60.05,55.65,60.6,,,,,,,,
yolo26,n,cpu,segment,onnx,fp32,success,,2.9347165635127355,340.7484090398975,328.6362859998917,378.2033789993875,381.0524559994519,319.37025300067035,392.4018059988157,,percent,331,99.85679758308159,100.0,100.0,100.0,54.9,100.0,celsius,331,62.542447129909185,62.8,63.35,63.9,60.05,65.0,,,,,,,,
yolo26,n,cpu,segment,openvino,fp32,success,,4.220924437132202,236.91492584013758,231.3150299996778,253.8452110002254,264.60354200025904,227.20383799969568,287.0069090004108,,percent,229,95.81048034934501,95.3,100.0,100.0,85.4,100.0,celsius,230,62.357608695652125,62.25,63.35,63.9,60.05,64.45,,,,,,,,
yolo26,n,cpu,segment,openvino,fp16,success,,4.05412565177522,246.66231042003346,242.10278700047638,263.165909998861,276.706374999776,235.7135919992288,282.4644760003139,,percent,239,95.80585774058578,95.2,100.0,100.0,82.5,100.0,celsius,239,62.91276150627614,62.8,63.9,64.45,61.7,64.45,,,,,,,,
yolo26,s,cpu,segment,pytorch,fp32,success,,0.4883294711260979,2047.7977659099279,2049.5340159995976,2075.55901699925,2101.6677410007105,2005.7404139988648,2110.1069579999603,,percent,2000,48.01810000000003,48.8,64.3,73.2,24.4,87.8,celsius,2000,56.34464999999866,56.2,57.85,58.4,54.0,58.95,,,,,,,,
yolo26,s,cpu,segment,onnx,fp32,success,,1.0314332882858241,969.5246521100125,976.0363799996412,990.0767339986487,996.8920770006662,921.4248170010251,1007.1722230004525,,percent,928,99.83987068965519,100.0,100.0,100.0,49.7,100.0,celsius,928,63.38852370689618,63.35,64.45,65.0,60.6,65.55,,,,,,,,
yolo26,s,cpu,segment,openvino,fp32,success,,1.288790433900246,775.9213396500127,778.7379000001238,799.4163200000912,805.7903669996449,746.0004820004542,808.7074630002462,,percent,735,95.94721088435354,97.5,100.0,100.0,78.6,100.0,celsius,735,62.673537414965864,62.8,63.35,63.9,60.6,64.45,,,,,,,,
yolo26,s,cpu,segment,openvino,fp16,success,,1.6885946956663787,592.2084219300268,593.706106999889,616.8142520000401,620.6316280004103,564.1772290000517,621.698684999501,,percent,571,96.23047285464071,97.6,100.0,100.0,82.5,100.0,celsius,572,64.66153846153857,64.45,65.55,66.1,62.8,66.65,,,,,,,,
yolov8,n,cpu,obb,pytorch,fp32,success,,2.1086798258467514,474.2303633499432,473.7144470000203,487.5688779993652,489.8145110000769,460.5016660007095,491.45579200012435,,percent,466,50.755364806866936,50.0,61.9,73.2,37.5,82.5,celsius,466,55.70429184549381,55.65,56.75,57.3,53.45,57.85,,,,,,,,,
yolov8,s,cpu,obb,pytorch,fp32,success,,0.6758096764831601,1479.7065428300627,1480.5308079994575,1502.4860540015652,1504.099130999748,1444.7293299999728,1511.1682000006113,,percent,1448,45.541367403314915,43.9,61.0,71.4,28.2,75.6,celsius,1449,56.91321601104263,56.75,57.85,57.85,55.1,58.95,,,,,,,,,
